Date, Open, Close/Last, Volume, High, Low
8/26/2011,53.02,54.7971,160158018,$54.83 ,$52.97 
8/29/2011,55.45,55.71,101134490,$55.93 ,$55.43 
8/30/2011,55.46,55.7128,104308921,$55.98 ,$55.17 
8/31/2011,55.8,54.9757,130506429,$56.01 ,$54.55 
9/1/2011,55.12,54.4328,85770886,$55.33 ,$54.39 
9/2/2011,53.53,53.4357,109691503,$54 ,$53.12 
9/6/2011,52.48,54.2486,127132428,$54.33 ,$52.35 
9/7/2011,55.08,54.8471,87373746,$55.09 ,$54.57 
9/8/2011,54.63,54.8771,103837961,$55.52 ,$54.62 
9/9/2011,54.85,53.9257,141166172,$55.14 ,$53.57 
9/12/2011,53.29,54.2771,116765635,$54.41 ,$53.13 
9/13/2011,54.59,54.9457,110052633,$55.17 ,$54.32 
9/14/2011,55.29,55.6143,133540370,$56.03 ,$55.11 
9/15/2011,55.92,56.1371,103610951,$56.24 ,$55.70 
9/16/2011,56.51,57.2143,173859192,$57.21 ,$56.43 
9/19/2011,56.71,58.8043,205318042,$59.03 ,$56.46 
9/20/2011,59.32,59.0643,193493638,$60.41 ,$58.74 
9/21/2011,59.95,58.8771,150996555,$60.23 ,$58.86 
9/22/2011,57.29,57.4028,241788403,$58.55 ,$56.67 
9/23/2011,57.18,57.7571,136487861,$58.11 ,$57.12 
9/26/2011,57.12,57.5957,203032191,$57.71 ,$55.90 
9/27/2011,58.39,57.0371,157716487,$58.46 ,$56.87 
9/28/2011,57.17,56.7157,107310242,$57.68 ,$56.64 
9/29/2011,57.42,55.7957,162647149,$57.46 ,$55.17 
9/30/2011,55.3,54.4743,136874891,$55.56 ,$54.45 
10/3/2011,54.34,53.5143,166972660,$54.66 ,$53.31 
10/4/2011,53.51,53.2143,308080802,$54.54 ,$50.61 
10/5/2011,52.55,54.0357,196160359,$54.26 ,$51.47 
10/6/2011,53.33,53.91,202875671,$54.97 ,$53.11 
10/7/2011,53.68,52.8286,133849140,$53.96 ,$52.64 
10/10/2011,54.16,55.5443,110141043,$55.54 ,$54.03 
10/11/2011,56.08,57.1843,151188005,$57.60 ,$55.93 
10/12/2011,58.19,57.4557,155337537,$58.46 ,$57.16 
10/13/2011,57.85,58.3471,105774372,$58.35 ,$57.55 
10/14/2011,59.55,60.2857,142922473,$60.29 ,$59.32 
10/17/2011,60.25,59.9986,171172941,$60.96 ,$59.42 
10/18/2011,60.25,60.32,213231124,$60.69 ,$59.43 
10/19/2011,57.34,56.9457,275674643,$58.35 ,$56.83 
10/20/2011,57.14,56.4728,137224191,$57.19 ,$56.32 
10/21/2011,56.87,56.1243,154943506,$57.02 ,$55.82 
10/24/2011,56.6,57.9671,125430938,$58.07 ,$56.49 
10/25/2011,57.86,56.8243,107432952,$58.08 ,$56.77 
10/26/2011,57.39,57.2286,113884784,$57.51 ,$56.16 
10/27/2011,58.22,57.8128,123496347,$58.43 ,$57.41 
10/28/2011,57.57,57.85,80540134,$58.05 ,$57.50 
10/31/2011,57.49,57.8257,96335779,$58.48 ,$57.29 
11/1/2011,56.77,56.6443,132769740,$57.07 ,$56.17 
11/2/2011,57.16,56.7728,81719705,$57.21 ,$56.44 
11/3/2011,57.01,57.5814,110279293,$57.63 ,$56.48 
11/4/2011,57.43,57.1771,75324993,$57.63 ,$57.02 
11/7/2011,57.13,57.1043,67411392,$57.14 ,$56.59 
11/8/2011,57.46,58.0328,99898290,$58.29 ,$57.37 
11/9/2011,56.71,56.4686,139385792,$57.27 ,$56.32 
11/10/2011,56.72,55.0314,186111226,$56.74 ,$54.59 
11/11/2011,55.23,54.9457,163319499,$55.53 ,$54.32 
11/14/2011,54.79,54.18,108182162,$55.04 ,$54.03 
11/15/2011,54.4,55.5471,107614952,$55.64 ,$54.21 
11/16/2011,55.61,54.9671,87102636,$55.88 ,$54.90 
11/17/2011,54.85,53.9157,119918436,$54.94 ,$53.64 
11/18/2011,54.13,53.5628,92964578,$54.28 ,$53.55 
11/21/2011,52.91,52.7157,111837844,$53.10 ,$52.27 
11/22/2011,53,53.7871,102201781,$53.99 ,$52.99 
11/23/2011,53.5,52.4271,107011272,$53.69 ,$52.41 
11/25/2011,52.63,51.9386,63689820,$53.02 ,$51.90 
11/28/2011,53.19,53.7314,86538996,$53.82 ,$52.90 
11/29/2011,53.69,53.3143,93871498,$54.12 ,$52.89 
11/30/2011,54.47,54.6,101253000,$54.61 ,$54.04 
12/1/2011,54.65,55.4186,95857679,$55.57 ,$54.39 
12/2/2011,55.69,55.6714,94724238,$56.23 ,$55.51 
12/5/2011,56.21,56.1443,89257027,$56.63 ,$55.77 
12/6/2011,56.07,55.85,70841701,$56.38 ,$55.63 
12/7/2011,55.7,55.5843,76144063,$55.85 ,$55.25 
12/8/2011,55.92,55.8086,93960468,$56.50 ,$55.75 
12/9/2011,56.12,56.2314,74176572,$56.29 ,$55.86 
12/12/2011,55.95,55.9771,74755332,$56.27 ,$55.64 
12/13/2011,56.14,55.5443,84620155,$56.49 ,$55.30 
12/14/2011,55.24,54.3128,101456840,$55.34 ,$53.95 
12/15/2011,54.76,54.1343,64036768,$54.82 ,$54.04 
12/16/2011,54.34,54.4314,105291372,$54.88 ,$54.22 
12/19/2011,54.64,54.6014,58582206,$54.98 ,$54.35 
12/20/2011,55.39,56.5643,84150665,$56.59 ,$55.32 
